Date,Open,High,Low,Close,Adj Close,Volume
2016-04-11,15.128200,15.128200,15.128200,15.128200,14.711787,12241
2016-04-12,15.815800,15.815800,15.815800,15.815800,15.380459,2909
2016-04-13,15.696300,15.696300,15.696300,15.696300,15.264250,16857
2016-04-14,15.746100,16.154699,15.606600,15.955400,15.516219,2026816
2016-04-15,16.144699,16.344000,15.945400,16.244400,15.797264,2527926
2016-04-18,16.304199,16.334101,15.148100,15.267700,14.847448,2455679
2016-04-19,15.108300,15.108300,15.108300,15.108300,14.692435,9030
2016-04-20,14.948800,15.207900,14.769400,14.899000,14.488896,1174708
2016-04-22,14.779400,15.257800,14.311000,14.510300,14.110895,2178834
2016-04-25,14.450500,14.958800,14.450500,14.879100,14.469543,3368193
2016-04-26,14.938800,15.447100,14.938800,15.407200,14.983109,1542664
2016-04-27,15.447100,16.204500,15.447100,16.035101,15.593727,3225907
2016-04-28,16.094900,16.154699,15.457100,15.945400,15.506494,2070264
2016-04-29,16.104900,16.154699,15.566700,15.975300,15.535571,2590138
2016-05-02,15.975300,16.094900,15.746100,15.885600,15.448339,1365058
2016-05-03,15.746100,15.965300,15.347500,15.965300,15.525845,1123333
2016-05-04,15.945400,15.985300,15.038500,15.148100,14.731138,3993828
2016-05-05,15.158100,15.297600,14.819300,14.829200,14.421018,1898377
2016-05-06,14.570100,14.809300,14.111700,14.111700,13.723266,4337801
2016-05-09,14.081800,14.111700,13.234700,13.463900,13.093298,3749895
2016-05-10,13.643300,13.872500,13.075200,13.852600,13.471300,3768258
2016-05-11,13.962200,14.350900,13.952200,14.281100,13.888006,2885345
2016-05-12,14.350900,14.819300,14.171500,14.699700,14.295083,1622837
2016-05-13,14.699700,14.699700,13.832600,14.271100,13.878280,2700916
2016-05-16,14.241200,15.297600,14.211300,15.048500,14.634280,2769249
2016-05-17,15.247800,16.065001,14.749500,16.005199,15.564647,4833493
2016-05-18,16.005199,16.324100,15.686300,16.144699,15.700307,3753006
2016-05-19,15.915500,16.045099,15.158100,15.487000,15.060712,1605679
2016-05-20,15.656400,16.244400,15.506900,15.995200,15.554922,1551393
2016-05-23,15.776000,15.945400,15.556700,15.815800,15.380459,2113913
2016-05-24,15.955400,16.134800,15.447100,15.477000,15.050985,1884831
2016-05-25,15.696300,15.855700,15.347500,15.347500,14.925049,1583102
2016-05-27,15.487000,15.496900,14.958800,15.078400,14.663357,1940521
2016-05-30,15.198000,15.337500,14.978700,15.297600,14.876525,509739
2016-05-31,15.347500,15.457100,15.008600,15.317600,14.895973,2707137
2016-06-01,15.447100,15.447100,14.849200,15.148100,14.731138,1686254
2016-06-02,15.168100,15.457100,14.968700,15.457100,15.031634,1380410
2016-06-03,15.437100,15.736100,15.247800,15.516900,15.089787,1927376
2016-06-06,15.666400,15.666400,15.048500,15.198000,14.779666,1215648
2016-06-07,15.148100,15.198000,14.659800,15.168100,14.750589,2388650
2016-06-08,15.297600,15.477000,14.978700,15.437100,15.012186,2459793
2016-06-09,15.427200,15.566700,14.968700,15.058400,14.643910,2373800
2016-06-10,15.048500,15.098300,14.370800,14.480400,14.081819,2913040
2016-06-13,14.400700,14.490400,14.181400,14.311000,13.917081,2102574
2016-06-14,14.390700,14.490400,13.942300,14.121600,13.732895,1987983
2016-06-15,14.121600,14.330900,13.832600,14.051900,13.665113,4400917
2016-06-16,14.051900,14.390700,13.752900,14.390700,13.994588,3235038
2016-06-17,14.380800,14.879100,14.380800,14.709600,14.304709,3065962
2016-06-20,14.849200,15.417200,14.799300,15.188000,14.769941,1994505
2016-06-21,15.257800,15.447100,14.938800,15.437100,15.012186,1441117
2016-06-22,15.407200,15.427200,14.968700,15.178000,14.760218,1921456
2016-06-23,15.267700,15.706200,15.048500,15.686300,15.254526,1483562
2016-06-24,15.307600,15.437100,14.869100,15.437100,15.012186,2498927
2016-06-27,15.427200,15.427200,14.749500,15.158100,14.740864,1461386
2016-06-28,15.377300,15.526800,15.188000,15.437100,15.012186,1518682
2016-06-29,15.626500,16.045099,15.556700,15.985300,15.545294,1866970
2016-06-30,15.965300,16.144699,15.646400,16.025101,15.584000,2289311
2016-07-01,16.144699,16.792500,16.045099,16.702801,16.243048,4007374
2016-07-04,16.672899,17.181200,16.603100,16.742701,16.281849,1334553
2016-07-05,16.643000,17.240999,16.553301,17.151300,16.679201,3094760
2016-07-06,17.211100,17.260900,16.682899,17.221001,16.785139,1879312
2016-07-07,17.340599,17.340599,16.722700,16.941999,16.513199,1936307
2016-07-08,17.181200,17.440300,16.971901,17.440300,16.998886,1834158
2016-07-11,17.530001,18.108000,17.450300,17.739300,17.290321,2326438
2016-07-12,17.988400,18.098000,17.809000,17.908701,17.455435,2510165
2016-07-13,17.829000,17.928600,17.240999,17.350599,16.911459,2470931
2016-07-14,17.619699,18.127899,17.310699,17.988400,17.533115,3261328
2016-07-15,18.137899,18.167801,17.838900,18.038200,17.581654,1507142
2016-07-18,18.038200,18.167801,17.679501,17.978399,17.523371,2180841
2016-07-19,17.848900,18.008301,17.759199,17.918600,17.465084,1528616
2016-07-20,17.988400,18.038200,17.838900,18.038200,17.581654,1655950
2016-07-21,18.038200,18.277399,17.898701,18.058201,17.601151,1860348
2016-07-22,18.197701,18.197701,17.868799,17.948500,17.494223,1654947
2016-07-25,17.958500,18.028299,17.470200,17.848900,17.397146,1282476
2016-07-26,17.868799,17.928600,17.669500,17.669500,17.222284,1244948
2016-07-27,17.779100,18.705900,17.589800,18.317301,17.853691,1983568
2016-07-28,18.386999,18.426901,17.858900,18.177799,17.717718,1634577
2016-07-29,18.277399,19.284000,17.988400,19.084700,18.601667,4086745
2016-08-01,19.433500,19.632799,19.184299,19.284000,18.795923,3011476
2016-08-02,18.865400,19.234100,18.446800,18.945101,18.465603,2020093
2016-08-03,18.935200,19.124500,18.367100,19.104601,18.621065,2240244
2016-08-04,19.293900,19.901899,19.084700,19.234100,18.747288,2123646
2016-08-05,19.632799,19.632799,18.795601,19.293900,18.805573,1618823
2016-08-08,19.363701,19.363701,18.745800,18.745800,18.271345,1683243
2016-08-09,18.735800,18.955099,18.516600,18.835501,18.358776,2043874
2016-08-10,18.915199,18.935200,18.227600,18.426901,17.960518,1797634
2016-08-11,18.576401,19.333799,18.237600,19.134501,18.650209,2496518
2016-08-12,19.493299,20.360300,19.224199,20.021400,19.514662,4173441
2016-08-15,20.031401,20.509800,19.752399,20.320400,19.806093,2679242
